Kategori_Cyberbullying,Text_Preprocessed,Text_Tweet
Umpatan Kasar & Binatang,tolol kampung,Tolol kampungan
Umpatan Kasar & Binatang,yakan gue aku ganteng sih tp kyk tolol tolol gampang manipulasi,"YAKAN, gue akui ganteng sih tp kyk tolol tolol gampang dimanipulasi"
Umpatan Kasar & Binatang,bot dongo kalo uda tolol tolol aja borong goblok jga,"boti dongo, lain kali kalo uda tolol, tolol aja jangan diborong sama goblok nya jga "
Umpatan Kasar & Binatang,kalo tolol liatin bro malu wkwkw ajar ngetik yg bener,Kalo tolol jangan di liatin bro. Malu wkwkw. Belajar dulu cara ngetik yg bener
Umpatan Kasar & Binatang,lu tolol cenblu bego,"lu juga tolol, cenblu bego"
Umpatan Kasar & Binatang,kesel bgt sll gatau lu goblok,"kesel bgt ditanya apa jawabnya sll gatau, lu goblok ya"
Umpatan Kasar & Binatang,na goblok kuadrat,Na ini goblok kuadrat ...
Umpatan Kasar & Binatang,goblok lo nanya anak cewe lo deket mesum naruto mesum pahlawan bego,"Ya itu masih kecil goblok. Kan Lo nanya ""mau anak cewe Lo Deket sama orang mesum"" ya Naruto mesum juga jadi pahlawan bego"
Umpatan Kasar & Binatang,emang goblok,Ya emang goblok
Umpatan Kasar & Binatang,goblok bgt fandom bikin emosi,goblok bgt itu fandom bikin orang emosi terus
Umpatan Kasar & Binatang,ajg goblok autofill pea bikin akun soundcloud pake email himpun,ajg goblok autofill pea hampir bikin akun soundcloud pake email himpunan
Umpatan Kasar & Binatang,ye goblok itumah muasin ego lu doang najis gua dapet istricewe perawan nih keren bgt gua kalo gitumah cewe nuntut laki laki perjaka ngga iya demen cap celup mau yg perawan ga banding bray,"ye goblok itumah cuma buat muasin ego lu doang najis, 'gua dapet istri/cewe masih perawan nih keren bgt gua' kalo gitumah cewe juga boleh dong nuntut laki laki masih perjaka atau ngga, masa iya demen celap celup maunya yg perawan ga sebanding bray"
Umpatan Kasar & Binatang,goblok logika lo sih ampun dah gak yg nyuruh lo buru eramodern tolol gue analogi bawah emak lo cari nafkah lo cuman mokondo emang lo,"goblok kenapa logika lo pada ke sini sih, ampun dah, gak ada yg nyuruh lo berburu di era-modern tolol. 

makanya gue ada pertanyaan analogi dibawahnya, ""kalau emak lo kerja cari nafkah, terus bapak lo cuman jadi mokondo, emang lo mau?"""
Umpatan Kasar & Binatang,guuuoooblookkk tugas elu tolol jabat goblok tolol,Guuuoooblookkk!! Itu harusnya tugas elu tolol. Pejabat goblok dan tolol
Umpatan Kasar & Binatang,gak ngikutin tweetnya awalgoblok bener,Berarti kamu gak ngikutin tweetnya dari awal.Goblok bener...
Umpatan Kasar & Binatang,goblok lu gtin aja kak sebel anj,"goblok lu, gtin aja kak sebel anj"
Umpatan Kasar & Binatang,ai jahat fitnah pake video ai gak benar goblok gak bedain video asli video buat ai gw aja kalo suruh nginjek badan bokap gw kalo gel pegang tembok biar gak jatoh mikir napah,"Ai ini, walau mereka jahat tapi fitnah pake video Ai gak bisa dibenarkan juga.
pada goblok apa gak ada yang bisa bedain Video asli sama video buatan Ai!
gw aja dulu kalo disuruh nginjek² badan bokap gw, kalo lagi pegel² harus pegangan tembok biar gak jatoh. mikir napah."
Umpatan Kasar & Binatang,dihhh zionist goblok sepong noh israhell sayang lu wkwkwkwk met neraka dah,DIHHH ZIONIST GOBLOK SEPONG TERUS NOH ISRAHELL KESAYANGAN LU WKWKWKWK MET MASUK NERAKA DAH YA 
Umpatan Kasar & Binatang,udh bener ungu anjing goblok mobil bapuk anjing malas,TADI UDH BENER S1 UNGU ANJING GOBLOK MOBIL BAPUK ANJING MALAS
Umpatan Kasar & Binatang,dasar goblok qasem solemani jilat saudi goblok kah goblok,Dasar goblok . Itu bukan qasem solemani. Apakah menjilat saudi membuat anda jadi goblok. Sudah kah anda goblok hari ini?
Umpatan Kasar & Binatang,goblok banget yaaa,Wah goblok banget yaaa
Umpatan Kasar & Binatang,mikir goblok,mikir goblok
Umpatan Kasar & Binatang,max maki aja nih tim lo yg tolol goblok bikin emosi aja dasar rb gembrot,"MAX MAKI AJA NIH TIM LO YG TOLOL GOBLOK INI BIKIN EMOSI AJA DASAR RB22 GEMBROT 
@redbullracing"
Umpatan Kasar & Binatang,malu bangga goblok,"Harus malu, bukan malah bangga. Goblok."
Umpatan Kasar & Binatang,lbe go emang susah gue aja yg bego kli,Lbe GO emang susah atau guenya aja yg bego kli ya
Umpatan Kasar & Binatang,bego bgtt ajgg slh jam,bego bgtt ajgg slh jam
Umpatan Kasar & Binatang,ni kasihan kaum bego bilang gak asli aja nyerahkorbannya lanjur bego,"Ini ni kasihan kaum bego, yang bilang gak asli aja nyerah..korbannya terlanjur bego"
Umpatan Kasar & Binatang,bego ga ajar,bego terus ga belajar
Umpatan Kasar & Binatang,begoin orng,"di bego""in sama orng"
Umpatan Kasar & Binatang,bener bupati kalu pikir rakyat gak nuntut gak ngurus gak bawa adil nunggu berita gerus waktu simpul rakyat emang bego,"Bener pak bupatinya kalu berpikir rakyat gak bakal nuntut gak bakal ngurus gak bakal bawa kasus ini ke pengadilan dan nunggu beritanya tergerus waktu dengan sendirinya.

Kesimpulan : Rakyat emang bego"
Umpatan Kasar & Binatang,oh belio arti bego pelihara,Oh belio dalam artian orang bego dipelihara
Umpatan Kasar & Binatang,alesan aja duit gak kepake ntar kalo udah pinjemin purapura bego,alesan aja itu supaya duitnya gak kepake. ntar kalo udah kamu pinjemin dia pura-pura bego.
Umpatan Kasar & Binatang,liat komenan beneran norak bjir wkwkwk ga takut war suruh bego tren unpopular opinion kek gin aja war,"setelah liat komenan lain, beneran norak bjir wkwkwk
ga boleh lah, takut jadi war lah. suruh siapa bego,  masa tren unpopular opinion kek gini aja jadi war"
Umpatan Kasar & Binatang,jgn bego ajh,jgn bego ajh
Umpatan Kasar & Binatang,sampe bego,jangan sampe bego
Umpatan Kasar & Binatang,bego nama,Bego namanya
Umpatan Kasar & Binatang,rakya bego hmm kek nganggep gitu apa yg mreka laku gapernasudah males protes agree percaya,"""Dikira rakya bego?"" Hmm, kek nya mereka selalu nganggep kita gitu.
Karena apapun yg ""mreka"" lakukan kita gaperna/sudah males protes. Seolah kita agree dan percaya saja sama ""mereka""."
Umpatan Kasar & Binatang,next jd pura bego aja,next jd pura2 bego aja 
Umpatan Kasar & Binatang,bego piara,Bego kok dipiara
Umpatan Kasar & Binatang,sok sok ngoreksi emang gak koreksi emang komunikasi ama anggap emang susah sekian aja gua gak terima udahan btw maaf cuy lu gak idiot idiot prabowo,"sok sok-an ngoreksi, emang anda gak perlu dikoreksi. tapi emang komunikasi ama orang yang menganggap diri sendiri benar itu emang susah. jadi cukup sekian aja. walaupun gua yakin anda gak akan terima udahan disini. btw maaf ya cuy, lu gak idiot kok. yang idiot itu prabowo."
Umpatan Kasar & Binatang,bro inkosari ma boss joliki ravodhu boss chudu,"Bro inkosari ma boss joliki ravodhu

Boss 
@KChiruTweets
 itu chudu"
Umpatan Kasar & Binatang,edition kooda cheyyi,F1 edition kooda cheyyi
Umpatan Kasar & Binatang,banding buruk satu idiot,"membandingkan 2 hal buruk, tidak akan membuat yang satunya lebih baik, idiot."
Umpatan Kasar & Binatang,si tahan ngomong sm idiot nder,kok bisa si tahan ngomong sm orang idiot nder
Umpatan Kasar & Binatang,idiot uda chama maubwa na malaya,Idiot UDA chama ya maubwa na malaya
Umpatan Kasar & Binatang,bro inkosari maa boss joliki vasthey bagodhu,Bro inkosari maa Boss Joliki vasthey Bagodhu 
Umpatan Kasar & Binatang,just saw an idiot on tiktok say east africans are only pretty bc they have european features oggikggjngjgjfjdnjdjdkdkddkfkkfmgkgkgkgmgm,"just  saw  an  idiot  on  tiktok  say  east  africans  are  only  pretty  bc  they  have  european  features  

OGGIKGGJNGJGJFJDNJDJDKDKDDKFKKFMGKGKGKGMGM"
Umpatan Kasar & Binatang,koreksi ngatain idiot tipikal indons batas singkat details tau engga ketemu engga tahun engga tetangga or warga,"Dikoreksi malah ngatain idiot. Tipikal Indons. Dibatasi pun masih bisa disingkat tanpa harus details. Nah tau kan, engga ketemu bukan berarti engga ada. Lima tahun di sini apa engga pernah tanya tetangga or warga sekitar?"
Umpatan Kasar & Binatang,contoh mahluk idiot yg negara indonesia si halid min,Contoh mahluk idiot yg ada di negara indonesia ya itu dia si Halid min 
Umpatan Kasar & Binatang,goblok gak ketemu mie ayam gak gak mie ayam primitif saking idiot timbang ngetik batas pikir ngetik idiot pelihara,"gobloknya kamu. gak ketemu mie ayam bukan berarti gak ada, dan gak ada mie ayam bukan berarti primitif. dan saking idiotnya kamu, kamu bahkan tidak mempertimbangkan ngetik di X itu dibatasi. jadi kamu pikir kita bisa ngetik selalu jelas dan panjang. idiot kok dipelihara "
Umpatan Kasar & Binatang,look at this beautiful idiot in shaallah my father will never involve himself into politics ballantana yaje irin wannan wurin shi allah saka wadatar zuci ba kamar naku iyayen ba da suka daura ku hanyar kaskanci da maula,Look at this beautiful idiot. In sha'Allah my father will never involve himself into politics ballantana yaje irin wannan wurin shi Allah ya saka masa wadatar zuci ba kamar naku iyayen ba da suka daura ku a hanyar kaskanci da maula
Umpatan Kasar & Binatang,dengar riset nikah darah sebab rusa genetik turun idiot,"Saya pernah dengar, belum ada riset pernikahan sedarah menyebabkan kerusakan genetik dan keturunan idiot."
Umpatan Kasar & Binatang,harga tanah murah ratio gaji bagus klo dicompare butuh hari harga emas cenblue idiot mah paham hitung analisis simpel gin asbun ae udah,"Dulu kan harga tanah masih murah, ratio gaji juga bagus klo dicompare dengan kebutuhan harian dan harga emas. Ya cenblue idiot mah mana paham hitungan analisis simpel gini. Asbun ae udah"
Umpatan Kasar & Binatang,hehhh botol akut injil rasul udahlah idiot eh nambahin lg dungu lu sorry to say hrs kasar sih org sok pinter kaya elu slammm baca kitab dl yg ehem,Hehhh BOTOL AKUT!! INJIL BUKAN RASUL.. UDAHLAH IDIOT EH MASIH NAMBAHIN LG KEDUNGUAN LU.. SORRY TO SAY HRS KASAR SIH SAMA ORG SOK PINTER KAYA ELU SLAMMM... MAKANYA BACA KITABMU DL YG KATANYA EHEM ITU..
Umpatan Kasar & Binatang,akun lu akun sampah goblok gausah sok sok an cari bela idiot,akun lu akun sampah goblok gausah sok sok an cari pembelaan idiot
Umpatan Kasar & Binatang,idiot yg komen disni,idiot semua yg komen disni
Umpatan Kasar & Binatang,ikpu nnegu idiot ode,IKPU NNEGU idiot ODE 
Umpatan Kasar & Binatang,fetish normal fetish sndiri aja udah lain pake ngomong fetish normal gk bikin perilaku aneh idiot gila lo jd normal deh emg dasar lo sakit aja open your book ajar lg nyet,"""fetish seperti ini normal""?? fetish itu sndiri aja udah kelainan, pake segala ngomong fetish normal. gk usah bikin perilaku aneh idiot gila lo jd normal deh. emg dasarnya lo SAKIT aja. open your book, belajar lg ya nyet"
Umpatan Kasar & Binatang,cape banget anjing,cape banget anjing
Umpatan Kasar & Binatang,lupa banget switch ekspedisi kirim lanjur pakai jnt cargo jelek banget anjir lho barang gue hari gajalan deket surabaya gresik bisa hari ga nyampe anjing,"lupa banget switch ekspedisi pengiriman, terlanjur pakai jnt cargo, jelek banget anjir 2x lho barang gue seharian gajalan, padahal deket dari surabaya ke gresik, bisa bisanya 4 harian ga nyampe anjing."
Umpatan Kasar & Binatang,anjing cwrita rakyat,ANJING 11L BUKAN CWRITA RAKYAT TERNYATA
Umpatan Kasar & Binatang,gue lg gakuad banget sma ril gue anjing,gue lg gakuad banget sma ril gue ini anjing
Umpatan Kasar & Binatang,emang ngerti ama solat istikharah era anak cucu bani saud udha liberal liat aja princessnya arab melihara anjing pake baju seksi cap islami perkara raja aja kalo tau gaya hidupnyavdi eropa mahh geleng geleng,Emang masih ngerti dia ama solat istikharah era anak cucu bani saud kan udha pada liberal liat aja princessnya di luar arab melihara anjing pake baju seksi pula ...dia dicap islami perkara mau jadi raja aja ..kalo ketauan gaya hidupnyavdi eropa mahh yakin pada geleng geleng 
Umpatan Kasar & Binatang,untung anjing klo gk jg,"untung aku anjing, klo gk ya aku mau jg"
Umpatan Kasar & Binatang,asu bgt anjing,asu bgt anjing
Umpatan Kasar & Binatang,ken tpi gapengen aneh bgt anjing gasuka jdi yg asa ga gin,"pengen sendiri tpi gapengen sendirian aneh bgt anjing gasuka juga jdi orang yg begini 
perasaan dulu ga gini"
Umpatan Kasar & Binatang,gtw gtw gtw lu gw tampar lama anjing gitu gw balesnya kak trus udh blok aja males org kek ga ajar ngomong,"Gtw gtw gtw, lu gw tampar lama² anjing

Gitu gw balesnya kak. Trus udh blok aja, males sama org kek ga pernah belajar ngomong"
Umpatan Kasar & Binatang,anjing ga worth it psikolog nunggu telat anjj gw nunggu jam rumah mahal gila rbjam judgemental lg kwkw ramahh mending temen gua serius ga ngasih saransolusi apa jirr,"anjing ga worth it psikolog mana nunggu lama telat anjj gw nunggu hampir 1 jam di depan rumahnya, mana mahal gila 300rb/jam

judgemental lg KWKW tidak ramahh, mending temen gua

karena seriusan ga ngasih saran/solusi apapun jirr "
Umpatan Kasar & Binatang,aduh ngentot bacot anjing nanya tai,aduh ngentot bacot anjing banyak nanya tai
Umpatan Kasar & Binatang,gue diutakngin alesan ibuk beli beras dll gatega gue kasih rb udh th ga blik tuh duit kalo tagih iya nnti hri inibulan jam anjing ujung smpe skrng ga tf udh ckls sumaph dunia akhirat ga ikhlas gue mntain pertnggu jwbn jg ibuy,"Gue juga diutakngin alesan buat ibuk nya buat beli beras dll ya gatega gue kasih 500rb udh 4th ga blik2 tuh duit kalo ditagih iya nnti hri ini,bulan ini jam ini kan anjing ujung2 smpe skrng ga tf2 mana udh ckls 1 ,sumaph dunia akhirat ga ikhlas gue mntain pertnggu jwbn jg ke ibuy"
Umpatan Kasar & Binatang,goyang narasi mu stelah dukung ganjar tuduh fetish mu anjing banget kau pakai istilah seksual mmbentuk jebincian mu anis yg rakyat pmerintah sya dukung anis prabowo ganjar ratap dg lonjak harga,"Mulai goyang narasi mu stelah d sebut pendukung ganjar. Tuduhan ""FETISH"" mu anjing banget, kau memakai istilah seksual demi mmbentuk jebincian mu ke Anis. Sekarang yg ada itu rakyat & pmerintah, sya melihat kok pendukung Anis, prabowo & ganjar  meratap dg lonjakan harga."
Umpatan Kasar & Binatang,capek gue anjing anak,capek gue anjing jadi anak pertama
Umpatan Kasar & Binatang,lu harap main caps timnas entot tahan korsel jepang ah anjing lu,lu berharap sama pemain yang baru punya 5 caps Timnas buat mengentot pertahanan Korsel & Jepang? ah anjing juga lu.
Umpatan Kasar & Binatang,haha gendong anak babi ga haram mutlak kak babi najis mayoritas ulama syafii hanbali dll cuci sentuh pake air najis berat aman hindar kecuali ustadz biar,"Haha, gendong anak babi ga haram mutlak kak, tapi babi najis menurut mayoritas ulama (Syafi'i, Hanbali dll). Kalau kena, cukup cuci bagian yang disentuh pake air (sekali atau 7x kalau najis berat). Lebih aman hindari kecuali perlu, tanya ustadz biar pasti ya! "
Umpatan Kasar & Binatang,biadab korup dana kuota haji ormas haramin makan babi doang,Sebiadab korup dana dan kuota haji dari ormas yang cuma haramin makan babi doang? 
Umpatan Kasar & Binatang,ga tau kak coba gendong anak babi haram gak,"Ga Tau kak, 
Coba kita Tanya ke 
@grok
 gendong anak babi Haram gak"
Umpatan Kasar & Binatang,ga udah kali babi,"ga sekali dua kali ini udah berkali kali ya babi 
@MercedesAMGF1"
Umpatan Kasar & Binatang,kalo babi haram gak kak kemarin mang yad gendong anak,"Kalo babi haram gak kak....

Kemarin mang Yadi gendong anak nya..."
Umpatan Kasar & Binatang,redbull ganti nama pigbull aja dah susah belok kek babi,"Redbull ganti nama jadi pigbull aja dah, susah belok kek babi"
Umpatan Kasar & Binatang,ubah jd babi bantal,katanya berubah jd babi bantal
Umpatan Kasar & Binatang,mercy babi pulak mobil ge,mercy babi kenapa pulak mobilnya ge ini
Umpatan Kasar & Binatang,babi guling kayak gimana,Babi guling rasanya kayak gimana
Umpatan Kasar & Binatang,si babi,kenapa si babi
Umpatan Kasar & Binatang,luat layar media sosial akaun lelaki perempuan single dok promote mingle konon cari jodoh tahun tahun posting kerja cari jodoh lagi musim raya kalah sembang babi korang main jiwa dah sakit jiwa,"Meluat juga melayari media sosial apabila lalu akaun lelaki perempuan 'single' dok promote 'mingle' konon mencari jodoh. Dari setahun ke setahun posting sama itulah kerjanya; 'masih mencari jodoh', lagi² musim raya. Kalah sembang babi sebab korang main jiwa dah serupa sakit jiwa!"
Umpatan Kasar & Binatang,kayak sd elalu ong ok,KAYAK SD S elalU D ong ok 
Umpatan Kasar & Binatang,kayak anak tk lol kanak kanak,   KAYAK anak TK Toh LOL Kanak kanak
Umpatan Kasar & Binatang,first time masak babi kecap pas nyicip turns out bgt jirrrrssss,first time masak babi kecap. Pas nyicip turns out enak bgt jirrrrssss
Umpatan Kasar & Binatang,dikirimin kepala babi bangkai ayam rumah makan opor,"Enggak dikirimin kepala babi, bangkai ayam di rumah malah makan opor dia"
Umpatan Kasar & Binatang,tunggu mak kau la babi dasar scammer anjing,"Tunggu mak kau la babi, dasar scammer anjing"
Umpatan Kasar & Binatang,scamer babi mcmtu je gone,"Scamer Babi, mcmtu je gone 250 aku"
Umpatan Kasar & Binatang,jembut celup santen redmbull kek jembut benci banget gue bangsat,"Jembut kecelup santen
Redmbull kek jembut

Benci banget gue bangsat"
Umpatan Kasar & Binatang,bangsat kwkwkw,bangsat kwkwkw
Umpatan Kasar & Binatang,tim bangsat,tim bangsat
Umpatan Kasar & Binatang,bangsat gua ngakak,Bangsat gua ngakak 
Umpatan Kasar & Binatang,ujan dikit mati lampu bangsat,tiap ujan dikit mati lampu bangsat lah
Umpatan Kasar & Binatang,gua ga ngetik kasar bangsat,"Gua ga mau ngetik kasar, tapi ini bangsat"
Umpatan Kasar & Binatang,lu les kumon deh bangsat kalo ga ngerti bahasa inggris,lu les kumon deh bangsat kalo ga ngerti bahasa inggris
Umpatan Kasar & Binatang,bangsat anjing gw harap palsu,BANGSAT ANJING SUDAH MEMBERI GW HARAPAN PALSU
Umpatan Kasar & Binatang,bangsat ferrari,BANGSAT YA FERRARI
Umpatan Kasar & Binatang,kasi adekku diboongin aplikasi hasil uang dri nonton video bangsat klo snack video tuhhh beneran ga si,"Kasian adekku diboongin sama aplikasi penghasil uang dri nonton video, bangsat kalian ini. Klo snack video tuhhh beneran bisa ga si???"
Umpatan Kasar & Binatang,tim wedhus asu jancok bangsat bajing,"Tim wedhus asu jancok bangsat bajingan 
@redbullracing"
Umpatan Kasar & Binatang,bajing negara jadi bajing rumah bangsat bangsat,Bajingan negara dijadikan bajingan rumah. Bangsat bangsat 
Umpatan Kasar & Binatang,awokawokawok bangsat,Awokawokawok bangsat
Umpatan Kasar & Binatang,ford fiesta kontol jelek memek anjing titit jembut bangsat ngga late braking tai,"FORD FIESTA KONTOL JELEK MEMEK ANJING TITIT JEMBUT BANGSAT NGGA BISA LATE BRAKING TAI
@redbullracing"
Umpatan Kasar & Binatang,bangsat kek gin bebesin aja,Bangsat kek gini bebesin aja .
Umpatan Kasar & Binatang,trims sosok bangsat yg bikin gwejh spt enih,trims. ada sosok bangsat yg bikin gwejh menjadi spt enih
Umpatan Kasar & Binatang,indon negara terroris bajing israel lolos indon,Bisa bisa nanti indon jadi Negara terroris jika para bajingan Israel Di loloskan ke indon.
Umpatan Kasar & Binatang,bajing,bajingan
Umpatan Kasar & Binatang,bajing kecut moga rudal irak or yaman,Kamu bajingan pengecut! Semoga kamu kena rudal dari Irak or Yaman
Umpatan Kasar & Binatang,moga si bajing diare,Semoga si bajingan diare terus tiap hari
Umpatan Kasar & Binatang,gue benci bajing keparat baik mreka neraka untung ku temu dengan sempit hidup,gue benci x bajingan keparat baiknya mreka masuk neraka untungnya ku bertemu denganmu di sela sempit hidup ini
Umpatan Kasar & Binatang,bajing ga tenang nonton quali ga tenang kalo russell pole mercy anjjng toto wolff anjrit gua gasuka russell sampw gua mau russell,"bajingan ga tenang amat nonton quali, ga tenang kalo bukan russell yang pole. mercy anjjng, toto wolff anjrit, gua gasuka russell p2 p3 sampw p20, gua maunya russell p1."
Umpatan Kasar & Binatang,bajing ga pit wtf williams mobil jelek,Bajingan ternyata dia ga keluar dari pit? wtf Williams mobil jelek
Umpatan Kasar & Binatang,bajing wache bajing redmbull gue gak nonton race besok,BAJINGAN WACHE BAJINGAN REDMBULL gue gak akan nonton race besok
Umpatan Kasar & Binatang,bajing banget nih israel,Bajingan banget nih israel
Umpatan Kasar & Binatang,gak peduli gue kontol suzuka gp mutus streak banget bajing,Gak peduli gue kontol sama Suzuka GP. Terlalu mutus streak banget bajingan
Umpatan Kasar & Binatang,emang asu bajing banget si redbull redbull,emang asu ya bajingan banget si redbull redbull itu
Umpatan Kasar & Binatang,antek pki jokojing bajing kihat wajah susah dn lapar mreka sm percis sperti,Antek² PKI jokoJING sama bajingan nya..! Kihat2 wajah² susah dn lapar mreka sm percis sperti B2..!!
Umpatan Kasar & Binatang,putus streak gin banget bajing redmbull gue benci banget,Putus streak nya gini banget bajingan redmbull gue benci banget
Umpatan Kasar & Binatang,btw adminnya malas bangettt ga direspon lg chatku hikss bajing sekaliii,"btw adminnya memalaskan bangettt, ga direspon lg chatku hikss bajingan sekaliii"
Umpatan Kasar & Binatang,taut nadin relate bcs hidup bajing hancur ku sayang ku juara,"bertaut - nadin 
tidak relate dengan diri ini, bcs hidup sudah seperti bajingan, namun sudah pasti saat hancur ku tak disayang apalagi saat ku jadi juara"
Umpatan Kasar & Binatang,bajing wache,Bajingan wache
Umpatan Kasar & Binatang,eyi gue tuju bngtt yakan kayak lu dua aja kampang ken ikeh ikeh,"EYI?? GUE SETUJU BNGTT, YAKAN SELAMA INI KAYAK.. LU BERDUA SAMA AJA KAMPANG PENGEN IKEH IKEH"
Umpatan Kasar & Binatang,bahlil kampang jelek muka jelek ahlak jelek otak makan tai yah gk pikir,"Bahlil kampang. Jelek muka, jelek ahlak, jelek otak. Makannya tai kali yah ini orang. Gk pernah ada pikiran."
Umpatan Kasar & Binatang,tau rugi anggurin si centil wintil ituuuuuu tauuu emang kampang tu jejak si gundul,"Karena dia tau, RUGI KALI ANGGURIN SI CENTIL WINTIL ITUUUUUU DIA TAUUU!! EMANG KAMPANG TU JEJAK SI GUNDUL 

#OnlyFriendsDreamOnEP5"
Umpatan Kasar & Binatang,apasih beli netflix sharing pake smart tv ga henti henti nonton anjirr kemarin pagi sampe sekar woyy lahh guee nonton kampang emang gin yaa netflix sharing,"demi apasih beli netflix sharing ini orang yang pake smart tv dia ga berhenti berhenti nonton anjirr dari kemarin pagi sampe sekaran, woyy lahh guee juga mau nonton kampang memang. Emang gini semua yaa netflix sharing?"
Umpatan Kasar & Binatang,trs gimana atuh kampang drpd ngemis numpang hidup mending cari klo alas susah cari salah lu jir nikah tp siap matang depan laki nganggur cewe ngutang kyk gin yg rugi ga yg dimintain utang jir gila ah,"""trs aku gimana atuh""

Ya kerja kampang, drpd ngemis dan 'numpang hidup' ya mending cari kerja, klo alasannya 'susah cari kerja' ya salah lu jir, nikah tp belum persiapan matang buat kedepannya, laki nganggur cewe ngutang, kyk gini yg rugi ga cuma yg dimintain utang jir, gila ah"
Umpatan Kasar & Binatang,emak kampang dah jauhin aja,Emak kampang itu dah jauhin aja
Umpatan Kasar & Binatang,tau kau liat akun kau baca akun identitas kau tau aplagi move on laahhh kau liat kau sakit ganggu aja kampang,"aku tau kau juga pasti pernah liat akun ini, aku mau kau baca ini! semua akunku, semua identitasku pun pasti kau tau kan? nah cukup lah, buat aplagi? move on laahhh! makin kau liat nanti makin kau sakit! ganggu aja kampang!"
Umpatan Kasar & Binatang,kkkkkkkopik kampang,Kkkkkkkopik kampang
Umpatan Kasar & Binatang,sekironyo men punyo akal tuh dipakek bengak wasweswos poligami otak kau tu selangkang bae isinyo kampang wowkwowkwok,sekironyo men punyo akal tuh dipakek bengak wasweswos poligami otak kau tu nah selangkangan bae isinyo kampang wowkwowkwok
Umpatan Kasar & Binatang,lo spesifik nyebut jawa kampang plas plis plas plis bacot,lo spesifik nyebut jawa ya kampang. plas plis plas plis bacot
Umpatan Kasar & Binatang,aelah kampang kau,Aelah kampang kau ya 
Umpatan Kasar & Binatang,ngga lu ikutin kampang lu kalo kaga tau minimal googling,"ngga semua hal bisa lu ikutin ya kampang, lu kalo kaga tau minimal googling"
Umpatan Kasar & Binatang,ngurus diplomasi negeri lu kampang gibran sowan gak negara ketar tir,"Bukannya ngurus diplomasi luar negeri lu kampang gibran
Malah sowan2 gak jelas

Negara lagi ketar ketir"
Umpatan Kasar & Binatang,haters seyoung dc tuh kocak yah gak nyari celah jelek sey kemanamana nuduh oplas gak bukti karna aja nuduh edit foto banget aja kek kalo edit artis foto edit kampang,"Haters nya seyoung di dc tuh kocak yah, gak bisa nyari celah jeleknya sey jadinya kemana-mana. Dulu nuduh oplas tapi gak kebukti karna dari dulu juga sama aja sekarang nuduh edit fotonya kebangetan padahal sama aja  kek kalo editan juga semua artis juga fotonya diedit, kampang"
Umpatan Kasar & Binatang,ngomong kau kampang,Jangan asal ngomong kau kampang
Umpatan Kasar & Binatang,pajak jadi kampang,"Pajak jadian dong, kampang"
Umpatan Kasar & Binatang,jujur mls bgt kalo gaada info gin ken rodi tp fee ga sesuai ama kerja kampang,jujur mls bgt kalo gaada info gini. pengennya kerja rodi tp fee ga sesuai ama kerjaan kampang
